candidate_id,outer_span,vta_island_count,measured_cycle_ms,shared_compute_ms,direct_copy_ms,communication_aware_ms
islands_3_6__10_16,3_16,2,124.76589347058822,111.43742735294117,6.88686,111.43742735294117
islands_3_8__13_17,3_17,2,125.12609123529413,110.5343175882353,5.954725,110.5343175882353
islands_3_8__13_16,3_16,2,126.25022011764707,108.8294924117647,6.36581,108.8294924117647
islands_3_8__13_15,3_15,2,126.97767094117647,111.5148774117647,6.56538,111.5148774117647
islands_3_7__10_17,3_17,2,127.24182711764706,114.90358770588236,5.206185,114.90358770588236
islands_3_6__10_15,3_15,2,127.50849617647057,116.47287341176471,7.144450000000001,116.47287341176471
islands_3_7__10_16,3_16,2,128.0932055882353,114.87791470588235,5.529539999999999,114.87791470588235
islands_3_9__13_15,3_15,2,128.26676794117645,115.7986414117647,5.230505,115.7986414117647
islands_3_16,3_16,1,105.69712929411766,98.55518547058824,3.01615,98.55518547058824
islands_3_17,3_17,1,108.62043611764707,100.79229547058823,3.4818345,100.79229547058823
islands_3_7__8_15,3_15,2,109.47142464705884,101.702307,5.891135,101.702307
islands_3_12__13_17,3_17,2,109.59947476470587,101.37566023529412,3.9088850000000006,101.37566023529412
islands_3_7__8_12__13_17,3_17,3,113.79513676470586,106.17196688235295,6.468999999999999,106.17196688235295
islands_3_15,3_15,1,114.03975388235294,105.63965941176471,3.342325,105.63965941176471
islands_3_7__8_17,3_17,2,114.85438552941176,105.73610676470588,5.257125,105.73610676470588
islands_3_7__8_16,3_16,2,117.69277570588237,109.99006635294117,5.56004,109.99006635294117
islands_3_12__13_16,3_16,2,119.36684711764707,110.76059599999999,4.271205,110.76059599999999
islands_3_12__15_17,3_17,2,119.94364,108.20836270588235,3.9943199999999996,108.20836270588235
islands_3_7__8_12__13_16,3_16,3,121.75439805882353,113.40919152941177,6.853165,113.40919152941177
islands_3_7__10_12__13_17,3_17,3,124.22026570588235,112.52043105882353,6.468684999999999,112.52043105882353
islands_3_6__10_14__15_17,3_17,3,124.73724141176473,108.98730105882353,7.798939999999999,108.98730105882353
islands_3_7__8_12__15_17,3_17,3,125.44430970588235,112.34968352941176,6.504655,112.34968352941176
islands_3_7__8_11__15_17,3_17,3,126.53951294117648,114.37501252941176,7.265835000000001,114.37501252941176
islands_3_7__10_12__13_16,3_16,3,127.65136823529413,115.46048864705882,6.806274999999999,115.46048864705882
islands_3_6__10_12__13_17,3_17,3,127.911402,115.3820535882353,7.86961,115.3820535882353
islands_3_6__10_12__13_16,3_16,3,128.72636723529413,116.65903941176471,8.15586,116.65903941176471
islands_3_11__15_17,3_17,2,130.33032970588235,119.09257388235294,4.638325,119.09257388235294
islands_3_7__10_14__15_17,3_17,3,132.41216170588237,119.93435405882353,6.488345,119.93435405882353
islands_3_7__10_12__13_19,3_19,3,113.90797141176472,103.05939523529412,6.511280000000001,103.05939523529412
islands_3_4__8_15,3_15,2,127.81308047058823,115.1941884117647,7.372294999999999,115.1941884117647
islands_5_9__10_19,5_19,2,130.06491705882354,124.47077864705882,5.304485,124.47077864705882
islands_5_18,5_18,1,130.877274,125.50884905882353,3.0269749999999997,125.50884905882353
islands_5_14__15_18,5_18,2,132.74380447058823,127.28784229411765,4.375884999999999,127.28784229411765
islands_5_14__15_19,5_19,2,134.64895935294115,129.21741752941176,4.04833,129.21741752941176
islands_5_12__13_19,5_19,2,135.52982294117646,130.10052394117648,4.0187100000000004,130.10052394117648
islands_5_12__13_18,5_18,2,135.86368035294117,130.19506347058822,4.25295,130.19506347058822
islands_5_19,5_19,1,137.07897305882352,130.6434024117647,2.7622555,130.6434024117647
islands_5_9__10_14__15_19,5_19,3,137.75729929411764,132.05478411764707,6.661744999999999,132.05478411764707
islands_5_9__10_18,5_18,2,139.67734670588234,132.635634,5.6144,132.635634
islands_5_15,5_15,1,149.83705064705882,143.56163205882353,3.3872999999999998,143.56163205882353
islands_5_9__10_14__15_18,5_18,3,150.47604823529414,144.77571770588236,6.82643,144.77571770588236
islands_5_9__10_17,5_17,2,152.87871929411764,146.65703282352942,5.2687,146.65703282352942
islands_5_17,5_17,1,153.0981838235294,146.7262013529412,2.7075050000000003,146.7262013529412
islands_5_9__10_16,5_16,2,153.5321081764706,146.25701088235294,5.57883,146.25701088235294
islands_5_16,5_16,1,153.6218179411765,147.60917729411764,3.0165300000000004,147.60917729411764
islands_5_9__10_15,5_15,2,156.75746694117646,149.6170971764706,5.883145000000001,149.6170971764706
islands_5_12__13_16,5_16,2,157.09883852941178,149.77602652941175,4.333,149.77602652941175
islands_5_12__13_17,5_17,2,161.25601894117648,154.3731101764706,3.9688900000000005,154.3731101764706
islands_3_6__10_12__13_18,3_18,3,101.34234394117648,88.19820147058823,8.175830000000001,88.19820147058823
islands_3_5__10_19,3_19,2,102.81449747058824,92.28884464705882,7.919165,92.28884464705882
islands_3_6__10_12__13_19,3_19,3,103.82936882352942,89.69888341176471,7.87706,89.69888341176471
islands_3_5__10_18,3_18,2,109.14480964705882,98.56397029411765,8.188165,98.56397029411765
islands_3_12__13_15,3_15,2,110.08913088235295,102.98992511764706,4.57469,102.98992511764706
islands_3_7__10_12__13_18,3_18,3,116.68188558823532,105.85673770588235,6.845525,105.85673770588235
islands_3_5__10_17,3_17,2,123.4126611764706,110.80213935294118,7.884205,110.80213935294118
islands_3_10__15_17,3_17,2,124.28851458823527,107.14682852941176,5.279669999999999,107.14682852941176
islands_3_7__8_9__13_17,3_17,3,124.49646429411762,110.88802105882353,7.255779999999999,110.88802105882353
islands_3_5__10_16,3_16,2,124.89761247058821,110.99371929411765,8.381404999999999,110.99371929411765
islands_3_4__8_12__13_17,3_17,3,126.12413235294116,111.41143094117648,7.972679999999999,111.41143094117648
islands_3_5__10_15,3_15,2,126.78987782352942,114.07848258823529,8.580560000000002,114.07848258823529
islands_3_4__5_9__13_17,3_17,3,126.84720135294118,113.87629641176471,9.802635,113.87629641176471
islands_3_4__8_17,3_17,2,129.6094242352941,117.30650241176471,6.76328,117.30650241176471
islands_3_4__5_8__13_17,3_17,3,129.89460717647057,113.72160064705882,11.69445,113.72160064705882
islands_3_4__8_12__13_16,3_16,3,131.2392205882353,117.95642894117647,8.484995000000001,117.95642894117647
islands_3_4__5_9__13_16,3_16,3,131.7616352352941,118.62317864705882,10.3697,118.62317864705882
islands_3_4__5_8__13_16,3_16,3,131.81632752941175,118.48987817647058,11.5848,118.48987817647058
islands_3_4__8_16,3_16,2,132.05823935294117,112.915106,7.113639999999999,112.915106
islands_3_7__8_9__13_16,3_16,3,132.44301794117646,119.7889284117647,7.60359,119.7889284117647
islands_3_5__10_14__15_19,3_19,3,106.324702,90.31795023529412,9.594025,90.31795023529412
islands_3_5__10_14__15_18,3_18,3,107.68183264705881,93.95302835294117,9.42165,93.95302835294117
islands_3_9__10_12__13_17,3_17,3,110.23220223529412,102.91042952941177,6.419285,102.91042952941177
islands_3_6__8_15,3_15,2,113.5988605882353,106.07210117647058,7.440855000000001,106.07210117647058
islands_3_10__13_16,3_16,2,115.086002,104.83111605882353,5.509625,104.83111605882353
islands_3_10__13_17,3_17,2,115.9155755882353,107.6910585882353,5.156810000000001,107.6910585882353
islands_3_7__8_14__15_17,3_17,3,115.99414811764706,108.13700594117647,6.548085,108.13700594117647
islands_3_9__10_12__13_16,3_16,3,116.39625452941176,108.79655711764705,6.79628,108.79655711764705
islands_1_5__10_15,1_15,2,116.83221358823532,95.25673541176471,10.497150000000001,95.25673541176471
islands_3_14__15_17,3_17,2,117.80920682352942,109.70983711764706,3.979039999999999,109.70983711764706
islands_3_7__10_12__13_15,3_15,3,122.05980111764707,109.94570317647059,7.19628,109.94570317647059
islands_3_9__10_14__15_17,3_17,3,122.61708847058826,115.489363,6.484305000000001,115.489363
islands_3_9__10_12__15_17,3_17,3,123.63517688235292,111.62802270588236,6.452724999999999,111.62802270588236
islands_3_7__8_12__13_15,3_15,3,124.77105352941177,117.07329070588236,7.171915,117.07329070588236
islands_3_6__10_12__13_15,3_15,3,128.68557035294117,115.67501023529412,8.5226,115.67501023529412
islands_5_14__15_17,5_17,2,155.4775464705882,148.8380405882353,3.96496,148.8380405882353
islands_5_12__13_15,5_15,2,156.36595417647058,150.19528076470587,4.53198,150.19528076470587
islands_5_7__8_17,5_17,2,158.26720552941177,151.70813929411764,5.274245,151.70813929411764
islands_5_7__8_15,5_15,2,158.738452,152.33819682352942,5.876375,152.33819682352942
islands_5_7__8_16,5_16,2,159.23390170588237,150.57629682352942,5.612875,150.57629682352942
